,caption,videopath,score
30,a horse running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a horse running to join a herd of its kind.mp4,5.0
31,a bus turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bus turning a corner.mp4,4.0
32,a horse taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a horse taking a peaceful walk.mp4,5.0
33,a bicycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bicycle gliding through a snowy field.mp4,5.0
34,a bear sniffing the air for scents of food,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bear sniffing the air for scents of food.mp4,4.0
35,a person washing the dishes,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a person washing the dishes.mp4,4.0
36,a person drinking coffee in a cafe,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a person drinking coffee in a cafe.mp4,5.0
37,a truck accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a truck accelerating to gain speed.mp4,4.0
38,a giraffe bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a giraffe bending down to drink water from a river.mp4,5.0
39,a boat slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a boat slowing down to stop.mp4,4.0
40,a motorcycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a motorcycle gliding through a snowy field.mp4,5.0
41,a bear catching a salmon in its powerful jaws,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bear catching a salmon in its powerful jaws.mp4,4.0
42,a cat running happily,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a cat running happily.mp4,4.0
43,an airplane accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/an airplane accelerating to gain speed.mp4,5.0
44,a bear climbing a tree,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bear climbing a tree.mp4,4.0
45,a bird flying over a snowy forest,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bird flying over a snowy forest.mp4,4.0
46,a giraffe running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a giraffe running to join a herd of its kind.mp4,4.0
47,a train speeding down the tracks,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a train speeding down the tracks.mp4,5.0
48,a cow chewing cud while resting in a tranquil barn,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a cow chewing cud while resting in a tranquil barn.mp4,5.0
49,a sheep bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a sheep bending down to drink water from a river.mp4,5.0
50,a cat playing in park,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a cat playing in park.mp4,5.0
51,a zebra running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a zebra running to join a herd of its kind.mp4,5.0
52,a zebra taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a zebra taking a peaceful walk.mp4,5.0
53,a motorcycle turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a motorcycle turning a corner.mp4,4.0
54,a motorcycle cruising along a coastal highway,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a motorcycle cruising along a coastal highway.mp4,5.0
55,a bird soaring gracefully in the sky,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bird soaring gracefully in the sky.mp4,5.0
56,a sheep taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a sheep taking a peaceful walk.mp4,5.0
57,an airplane landing smoothly on a runway,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/an airplane landing smoothly on a runway.mp4,5.0
58,an airplane taking off,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/an airplane taking off.mp4,4.0
59,a dog playing in park,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a dog playing in park.mp4,4.0
60,an elephant taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/an elephant taking a peaceful walk.mp4,5.0
61,a train crossing over a tall bridge,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a train crossing over a tall bridge.mp4,4.0
62,a bus stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bus stuck in traffic during rush hour.mp4,4.0
63,a boat sailing smoothly on a calm lake,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a boat sailing smoothly on a calm lake.mp4,5.0
64,a truck stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a truck stuck in traffic during rush hour.mp4,5.0
65,a motorcycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a motorcycle slowing down to stop.mp4,5.0
66,a truck anchored in a tranquil bay,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a truck anchored in a tranquil bay.mp4,4.0
67,an airplane soaring through a clear blue sky,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/an airplane soaring through a clear blue sky.mp4,5.0
68,a truck slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a truck slowing down to stop.mp4,4.0
69,a bear hunting for prey,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bear hunting for prey.mp4,5.0
70,a truck turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a truck turning a corner.mp4,4.0
71,a bicycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bicycle accelerating to gain speed.mp4,5.0
