caption,videopath
a truck stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a truck stuck in traffic during rush hour.mp4
a horse running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a horse running to join a herd of its kind.mp4
a dog running happily,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a dog running happily.mp4
a bicycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bicycle slowing down to stop.mp4
a truck turning a corner,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a truck turning a corner.mp4
a bird flying over a snowy forest,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bird flying over a snowy forest.mp4
a person giving a presentation to a room full of colleagues,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a person giving a presentation to a room full of colleagues.mp4
a bus stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bus stuck in traffic during rush hour.mp4
a motorcycle cruising along a coastal highway,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a motorcycle cruising along a coastal highway.mp4
a bicycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bicycle accelerating to gain speed.mp4
a giraffe running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a giraffe running to join a herd of its kind.mp4
a train accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a train accelerating to gain speed.mp4
