caption,videopath
a motorcycle turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a motorcycle turning a corner.mp4
a bird soaring gracefully in the sky,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bird soaring gracefully in the sky.mp4
a bicycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bicycle gliding through a snowy field.mp4
a car turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a car turning a corner.mp4
a cat drinking water,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a cat drinking water.mp4
a cat playing in park,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a cat playing in park.mp4
a horse running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a horse running to join a herd of its kind.mp4
a train crossing over a tall bridge,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a train crossing over a tall bridge.mp4
a bicycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bicycle slowing down to stop.mp4
a train accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a train accelerating to gain speed.mp4
a dog drinking water,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a dog drinking water.mp4
an airplane landing smoothly on a runway,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/an airplane landing smoothly on a runway.mp4
a dog enjoying a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a dog enjoying a peaceful walk.mp4
a bicycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bicycle accelerating to gain speed.mp4
a cow chewing cud while resting in a tranquil barn,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a cow chewing cud while resting in a tranquil barn.mp4
a train speeding down the tracks,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a train speeding down the tracks.mp4
a bus turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bus turning a corner.mp4
a person walking in the snowstorm,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a person walking in the snowstorm.mp4
a sheep bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a sheep bending down to drink water from a river.mp4
a horse galloping across an open field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a horse galloping across an open field.mp4
a sheep running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a sheep running to join a herd of its kind.mp4
a truck stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a truck stuck in traffic during rush hour.mp4
