,caption,videopath,score
11,a giraffe running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a giraffe running to join a herd of its kind.mp4,4.0
12,a horse taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a horse taking a peaceful walk.mp4,5.0
13,a motorcycle turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a motorcycle turning a corner.mp4,4.0
14,a motorcycle cruising along a coastal highway,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a motorcycle cruising along a coastal highway.mp4,5.0
15,a dog running happily,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a dog running happily.mp4,4.0
16,a sheep running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a sheep running to join a herd of its kind.mp4,4.0
17,a bus stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bus stuck in traffic during rush hour.mp4,4.0
18,a bear sniffing the air for scents of food,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bear sniffing the air for scents of food.mp4,4.0
19,a person eating a burger,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a person eating a burger.mp4,3.0
20,a truck stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a truck stuck in traffic during rush hour.mp4,3.0
21,a dog enjoying a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a dog enjoying a peaceful walk.mp4,4.0
22,a boat accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a boat accelerating to gain speed.mp4,4.0
23,an airplane soaring through a clear blue sky,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/an airplane soaring through a clear blue sky.mp4,5.0
24,an elephant taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/an elephant taking a peaceful walk.mp4,4.0
25,a motorcycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a motorcycle gliding through a snowy field.mp4,5.0
26,a bus turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bus turning a corner.mp4,3.0
27,a bicycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bicycle accelerating to gain speed.mp4,4.0
28,a horse bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a horse bending down to drink water from a river.mp4,4.0
29,a zebra bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a zebra bending down to drink water from a river.mp4,5.0
30,an elephant spraying itself with water using its trunk to cool down,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/an elephant spraying itself with water using its trunk to cool down.mp4,3.0
31,a truck anchored in a tranquil bay,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a truck anchored in a tranquil bay.mp4,4.0
32,a bicycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bicycle slowing down to stop.mp4,3.0
33,a train speeding down the tracks,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a train speeding down the tracks.mp4,5.0
34,a horse running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a horse running to join a herd of its kind.mp4,4.0
35,an airplane taking off,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/an airplane taking off.mp4,3.0
36,a truck turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a truck turning a corner.mp4,4.0
37,a bicycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bicycle gliding through a snowy field.mp4,5.0
38,a zebra running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a zebra running to join a herd of its kind.mp4,3.0
39,an airplane accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/an airplane accelerating to gain speed.mp4,4.0
40,a motorcycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a motorcycle slowing down to stop.mp4,3.0
41,a motorcycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a motorcycle accelerating to gain speed.mp4,4.0
42,a train crossing over a tall bridge,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a train crossing over a tall bridge.mp4,4.0
43,a person washing the dishes,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a person washing the dishes.mp4,4.0
44,a cat grooming itself meticulously with its tongue,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a cat grooming itself meticulously with its tongue.mp4,3.0
45,a boat slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a boat slowing down to stop.mp4,2.0
46,a giraffe taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a giraffe taking a peaceful walk.mp4,5.0
47,a car stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a car stuck in traffic during rush hour.mp4,4.0
48,a bear climbing a tree,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bear climbing a tree.mp4,4.0
49,a bird building a nest from twigs and leaves,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bird building a nest from twigs and leaves.mp4,4.0
50,an airplane landing smoothly on a runway,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/an airplane landing smoothly on a runway.mp4,3.0
51,a dog drinking water,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a dog drinking water.mp4,5.0
52,a train accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a train accelerating to gain speed.mp4,4.0
53,a sheep bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a sheep bending down to drink water from a river.mp4,4.0
54,a car slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a car slowing down to stop.mp4,3.0
55,a truck slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a truck slowing down to stop.mp4,3.0
56,a car accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a car accelerating to gain speed.mp4,4.0
57,a bicycle leaning against a tree,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bicycle leaning against a tree.mp4,5.0
58,a giraffe bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a giraffe bending down to drink water from a river.mp4,5.0
59,a bus accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bus accelerating to gain speed.mp4,3.0
60,a dog playing in park,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a dog playing in park.mp4,4.0
61,a cat drinking water,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a cat drinking water.mp4,4.0
62,a bear catching a salmon in its powerful jaws,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bear catching a salmon in its powerful jaws.mp4,4.0
63,a bear hunting for prey,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bear hunting for prey.mp4,4.0
64,a zebra taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a zebra taking a peaceful walk.mp4,5.0
65,a truck accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a truck accelerating to gain speed.mp4,3.0
66,a person drinking coffee in a cafe,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a person drinking coffee in a cafe.mp4,4.0
67,a bird flying over a snowy forest,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bird flying over a snowy forest.mp4,5.0
68,a cat playing in park,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a cat playing in park.mp4,4.0
69,a person swimming in ocean,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a person swimming in ocean.mp4,4.0
70,a sheep taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a sheep taking a peaceful walk.mp4,4.0
71,a horse galloping across an open field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a horse galloping across an open field.mp4,5.0
