prompt,image_path
A light-colored wooden tabletop with two pipes at the edges. A blue and yellow tennis ball roll out of the pipes and towards each other. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0033_switch-frames_anyFPS_perspective-right_trimmed-balls-collide.jpg
A row of colorful wooden blocks lined up on a wooden table with a wooden stick attached to a black rotating platform. The platform rotates clockwise and the wooden stick hits the first block as it rotates. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0034_switch-frames_anyFPS_perspective-left_trimmed-block-domino.jpg
A row of colorful wooden blocks lined up on a wooden table with a wooden stick attached to a black rotating platform. The platform rotates clockwise and the wooden stick hits the first block as it rotates. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0035_switch-frames_anyFPS_perspective-center_trimmed-block-domino.jpg
A row of colorful wooden blocks lined up on a wooden table with a wooden stick attached to a black rotating platform. The platform rotates clockwise and the wooden stick hits the first block as it rotates. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0036_switch-frames_anyFPS_perspective-right_trimmed-block-domino.jpg
A black balloon is attached to a fixed electric air pump hose on a table with a plain wall in the background. Air is being pumped in the balloon. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0037_switch-frames_anyFPS_perspective-left_trimmed-blow-balloon.jpg
A black balloon is attached to a fixed electric air pump hose on a table with a plain wall in the background. Air is being pumped in the balloon. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0038_switch-frames_anyFPS_perspective-center_trimmed-blow-balloon.jpg
A black balloon is attached to a fixed electric air pump hose on a table with a plain wall in the background. Air is being pumped in the balloon. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0039_switch-frames_anyFPS_perspective-right_trimmed-blow-balloon.jpg
A tangerine that has been cut in half is placed on a glass cutting board. A knife is slicing through the tangerine. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0040_switch-frames_anyFPS_perspective-left_trimmed-cut-orange.jpg
A tangerine that has been cut in half is placed on a glass cutting board. A knife is slicing through the tangerine. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0041_switch-frames_anyFPS_perspective-center_trimmed-cut-orange.jpg
A tangerine that has been cut in half is placed on a glass cutting board. A knife is slicing through the tangerine. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0042_switch-frames_anyFPS_perspective-right_trimmed-cut-orange.jpg
"Two black and blue gripping tools are pulling a piece of green paper from its two corners, causing it to tear. Static shot with no camera movement.",/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0043_switch-frames_anyFPS_perspective-left_trimmed-cut-paper.jpg
"Two black and blue gripping tools are pulling a piece of green paper from its two corners, causing it to tear. Static shot with no camera movement.",/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0044_switch-frames_anyFPS_perspective-center_trimmed-cut-paper.jpg
"Two black and blue gripping tools are pulling a piece of green paper from its two corners, causing it to tear. Static shot with no camera movement.",/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0045_switch-frames_anyFPS_perspective-right_trimmed-cut-paper.jpg
A grabber tool holding a white domino drops the domino into a dark-colored liquid in a blue mug that is on a wooden surface. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0046_switch-frames_anyFPS_perspective-left_trimmed-domino-in-juice.jpg
A grabber tool holding a white domino drops the domino into a dark-colored liquid in a blue mug that is on a wooden surface. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0047_switch-frames_anyFPS_perspective-center_trimmed-domino-in-juice.jpg
A grabber tool holding a white domino drops the domino into a dark-colored liquid in a blue mug that is on a wooden surface. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0048_switch-frames_anyFPS_perspective-right_trimmed-domino-in-juice.jpg
Two rows of alternating black and white dominoes are set up on a wooden table with a gap between the two rows. A wooden stick attached to a rotating platform rotates clockwise and knocks the first domino in the first row. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0049_switch-frames_anyFPS_perspective-left_trimmed-dominos-with-space.jpg
Two rows of alternating black and white dominoes are set up on a wooden table with a gap between the two rows. A wooden stick attached to a rotating platform rotates clockwise and knocks the first domino in the first row. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0050_switch-frames_anyFPS_perspective-center_trimmed-dominos-with-space.jpg
Two rows of alternating black and white dominoes are set up on a wooden table with a gap between the two rows. A wooden stick attached to a rotating platform rotates clockwise and knocks the first domino in the first row. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0051_switch-frames_anyFPS_perspective-right_trimmed-dominos-with-space.jpg
A Newton's cradle device on the table and two of the metal balls are held up by a blue handled grabber tool. The claw releases the two balls. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0052_switch-frames_anyFPS_perspective-left_trimmed-double-cradle.jpg
A Newton's cradle device on the table and two of the metal balls are held up by a blue handled grabber tool. The claw releases the two balls. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0053_switch-frames_anyFPS_perspective-center_trimmed-double-cradle.jpg
A Newton's cradle device on the table and two of the metal balls are held up by a blue handled grabber tool. The claw releases the two balls. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0054_switch-frames_anyFPS_perspective-right_trimmed-double-cradle.jpg
A yellow rubber duck is positioned in the middle of a line of black and white dominoes on a wooden table. A stick attached to a black rotating platform rotates clockwise and knocks the first domino block. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0055_switch-frames_anyFPS_perspective-left_trimmed-duck-and-dominos.jpg
A yellow rubber duck is positioned in the middle of a line of black and white dominoes on a wooden table. A stick attached to a black rotating platform rotates clockwise and knocks the first domino block. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0056_switch-frames_anyFPS_perspective-center_trimmed-duck-and-dominos.jpg
A yellow rubber duck is positioned in the middle of a line of black and white dominoes on a wooden table. A stick attached to a black rotating platform rotates clockwise and knocks the first domino block. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0057_switch-frames_anyFPS_perspective-right_trimmed-duck-and-dominos.jpg
A yellow rubber ducky is suspended above an open dark green fabric box on a wooden table. The duck is then released. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0058_switch-frames_anyFPS_perspective-left_trimmed-duck-falls-in-box.jpg
A yellow rubber ducky is suspended above an open dark green fabric box on a wooden table. The duck is then released. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0059_switch-frames_anyFPS_perspective-center_trimmed-duck-falls-in-box.jpg
A yellow rubber ducky is suspended above an open dark green fabric box on a wooden table. The duck is then released. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0060_switch-frames_anyFPS_perspective-right_trimmed-duck-falls-in-box.jpg
A stationary yellow rubber duck on a light brown wooden table against a plain white background. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0061_switch-frames_anyFPS_perspective-left_trimmed-duck-static.jpg
A stationary yellow rubber duck on a light brown wooden table against a plain white background. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0062_switch-frames_anyFPS_perspective-center_trimmed-duck-static.jpg
A stationary yellow rubber duck on a light brown wooden table against a plain white background. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0063_switch-frames_anyFPS_perspective-right_trimmed-duck-static.jpg
A glass beverage dispenser filled with a bright red liquid is set up on a woven basket and is pouring the liquid into a clear glass on a wooden table. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0064_switch-frames_anyFPS_perspective-left_trimmed-fill-glass-red-drink.jpg
A glass beverage dispenser filled with a bright red liquid is set up on a woven basket and is pouring the liquid into a clear glass on a wooden table. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0065_switch-frames_anyFPS_perspective-center_trimmed-fill-glass-red-drink.jpg
A glass beverage dispenser filled with a bright red liquid is set up on a woven basket and is pouring the liquid into a clear glass on a wooden table. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0066_switch-frames_anyFPS_perspective-right_trimmed-fill-glass-red-drink.jpg
A glass beverage dispenser filled with a bright red liquid is set on a wicker base. Under the dispenser there is a glass half filled with red liquid. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0067_switch-frames_anyFPS_perspective-left_trimmed-glass-stays-same.jpg
A glass beverage dispenser filled with a bright red liquid is set on a wicker base. Under the dispenser there is a glass half filled with red liquid. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0068_switch-frames_anyFPS_perspective-center_trimmed-glass-stays-same.jpg
A glass beverage dispenser filled with a bright red liquid is set on a wicker base. Under the dispenser there is a glass half filled with red liquid. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0069_switch-frames_anyFPS_perspective-right_trimmed-glass-stays-same.jpg
A glass beverage dispenser pouring grapefruit juice into a glass that has some water inside. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0070_switch-frames_anyFPS_perspective-left_trimmed-juice-in-water.jpg
A glass beverage dispenser pouring grapefruit juice into a glass that has some water inside. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0071_switch-frames_anyFPS_perspective-center_trimmed-juice-in-water.jpg
A glass beverage dispenser pouring grapefruit juice into a glass that has some water inside. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0072_switch-frames_anyFPS_perspective-right_trimmed-juice-in-water.jpg
A blue rectangular wooden block is placed on a black rotating turntable that rotates clockwise illuminated by a spotlight casting a long shadow on the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0073_switch-frames_anyFPS_perspective-left_trimmed-light-on-block.jpg
A blue rectangular wooden block is placed on a black rotating turntable that rotates clockwise illuminated by a spotlight casting a long shadow on the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0074_switch-frames_anyFPS_perspective-center_trimmed-light-on-block.jpg
A blue rectangular wooden block is placed on a black rotating turntable that rotates clockwise illuminated by a spotlight casting a long shadow on the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0075_switch-frames_anyFPS_perspective-right_trimmed-light-on-block.jpg
A yellow mug is placed on a rotating turntable that rotates clockwise illuminated by a spotlight casting a shadow on the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0076_switch-frames_anyFPS_perspective-left_trimmed-light-on-mug.jpg
A yellow mug is placed on a rotating turntable that rotates clockwise illuminated by a spotlight casting a shadow on the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0077_switch-frames_anyFPS_perspective-center_trimmed-light-on-mug.jpg
A yellow mug is placed on a rotating turntable that rotates clockwise illuminated by a spotlight casting a shadow on the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0078_switch-frames_anyFPS_perspective-right_trimmed-light-on-mug.jpg
A yellow mug and a blue wooden block are placed on a rotating turntable that rotates clockwise illuminated by a spotlight casting their shadow on the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0079_switch-frames_anyFPS_perspective-left_trimmed-light-on-mug-block.jpg
A yellow mug and a blue wooden block are placed on a rotating turntable that rotates clockwise illuminated by a spotlight casting their shadow on the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0080_switch-frames_anyFPS_perspective-center_trimmed-light-on-mug-block.jpg
A yellow mug and a blue wooden block are placed on a rotating turntable that rotates clockwise illuminated by a spotlight casting their shadow on the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0081_switch-frames_anyFPS_perspective-right_trimmed-light-on-mug-block.jpg
A small statue made of porcelain illuminated by a spotlight on a rotating base that rotates clockwise. The spotlight casts a large shadow of the statue onto the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0082_switch-frames_anyFPS_perspective-left_trimmed-light-on-statue.jpg
A small statue made of porcelain illuminated by a spotlight on a rotating base that rotates clockwise. The spotlight casts a large shadow of the statue onto the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0083_switch-frames_anyFPS_perspective-center_trimmed-light-on-statue.jpg
A small statue made of porcelain illuminated by a spotlight on a rotating base that rotates clockwise. The spotlight casts a large shadow of the statue onto the wall behind it. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0084_switch-frames_anyFPS_perspective-right_trimmed-light-on-statue.jpg
A yellow rubber ducky is placed in an empty black baking pan on a wooden table.  A beverage dispenser with red liquid inside sits on a woven basket behind it. The liquid pours on the duck from the dispenser. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0085_switch-frames_anyFPS_perspective-left_trimmed-liquid-on-duck.jpg
A yellow rubber ducky is placed in an empty black baking pan on a wooden table.  A beverage dispenser with red liquid inside sits on a woven basket behind it. The liquid pours on the duck from the dispenser. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0086_switch-frames_anyFPS_perspective-center_trimmed-liquid-on-duck.jpg
A yellow rubber ducky is placed in an empty black baking pan on a wooden table.  A beverage dispenser with red liquid inside sits on a woven basket behind it. The liquid pours on the duck from the dispenser. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0087_switch-frames_anyFPS_perspective-right_trimmed-liquid-on-duck.jpg
A bright red liquid being poured from a dispenser into a glass which is placed on a dark baking tray on a wooden table. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0088_switch-frames_anyFPS_perspective-left_trimmed-liquid-overfill.jpg
A bright red liquid being poured from a dispenser into a glass which is placed on a dark baking tray on a wooden table. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0089_switch-frames_anyFPS_perspective-center_trimmed-liquid-overfill.jpg
A bright red liquid being poured from a dispenser into a glass which is placed on a dark baking tray on a wooden table. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0090_switch-frames_anyFPS_perspective-right_trimmed-liquid-overfill.jpg
Two candle holders that have tall red candles in them are placed on a wooden table. One of the candles is burning. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0091_switch-frames_anyFPS_perspective-left_trimmed-lit-candle.jpg
Two candle holders that have tall red candles in them are placed on a wooden table. One of the candles is burning. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0092_switch-frames_anyFPS_perspective-center_trimmed-lit-candle.jpg
